,Drug,Recommendation,Rationale,Standardized,ExStandardized,Creatinine Clearance,Condition
10,Hydroxyzine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity","[""HYDROXYZINE"", ""HYDROXYZINE HYDROCHLORIDE"", ""HYDROXYZINE PAMOATE""]",HYDROXYZINE,,
11,Meclizine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity","[""MECLIZINE HYDROCHLORIDE""]",MECLIZINE,,
12,Promethazine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity","[""PROMETHAZINE HYDROCHLORIDE"", ""PROMETHAZINE VC PLAIN"", ""PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE"", ""CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE"", ""PROMETHAZINE WITH CODEINE"", ""PROMETHAZINE HYDROCHLORIDE PLAIN"", ""PROMETHAZINE HYDROCHLORIDE, PHENYLEPHRINE HYDROCHLORIDE W/CODEINE PHOSPHATE"", ""DEXTROMETHORPHAN HYDROBROMIDE; PROMETHAZINE HYDROCHLORIDE"", ""MEPERIDINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE"", ""PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE"", ""PROMETHAZINE HYDROCHLORIDE; CODEINE PHOSPHATE"", ""PROMETHAZINE DM"", ""PROMETHAZINE HYDROCHLORIDE; DEXTROMETHORPHAN HYDROBROMIDE"", ""PROMETHAZINE W/ DEXTROMETHORPHAN"", ""PROMETHAZINE HYDROCHLORIDE,PHENYLEPHRINE HYDROCHLORIDE W/CODEINE PHOSPHATE"", ""PROMETHAZINE"", ""PROMETHAZINE HYDROCHLORIDE AND PHENYLEPHRINE HYDROCHLORIDE"", ""PROMETHAZINE PLAIN"", ""PROMETHAZINE VC W/ CODEINE"", ""PROMETHAZINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE"", ""CODEINE PHOSPHATE; PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE"", ""PROMETHAZINE W/ CODEINE"", ""PHENYLEPHRINE HYDROCHLORIDE AND PROMETHAZINE HYDROCHLORIDE""]",PROMETHAZINE,,
13,Pyrilamine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity","[""PHENYLEPHRINE HYDROCHLORIDE; PYRILAMINE MALEATE"", ""PYRILAMINE MALEATE""]",MEPYRAMINE,,
14,Triprolidine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity","[""PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE"", ""CODEINE PHOSPHATE; PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE"", ""TRIPROLIDINE AND PSEUDOEPHEDRINE HYDROCHLORIDES"", ""TRIPROLIDINE AND PSEUDOEPHEDRINE HYDROCHLORIDES W/ CODEINE"", ""TRIPROLIDINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE"", ""TRIPROLIDINE HYDROCHLORIDE, PSEUDOEPHEDRINE HYDROCHLORIDE AND CODEINE PHOSPHATE"", ""TRIPROLIDINE HYDROCHLORIDE"", ""PSEUDOEPHEDRINE HYDROCHLORIDE AND TRIPROLIDINE HYDROCHLORIDE"", ""TRIPROLIDINE AND PSEUDOEPHEDRINE""]",TRIPROLIDINE,,
15,Benztropine (oral),Avoid,Not recommended for prevention or treatment of extrapyramidal symptoms with antipsychotics; more effective agents available for treatment of Parkinson disease,[],BENZATROPINE,,
16,Trihexyphenidyl,Avoid,Not recommended for prevention or treatment of extrapyramidal symptoms with antipsychotics; more effective agents available for treatment of Parkinson disease,"[""TRIHEXYPHENIDYL HYDROCHLORIDE""]",TRIHEXYPHENIDYL,,
17,Atropine (excludes ophthalmic),Avoid,"Highly anticholinergic, uncertain effectivenes",[],ATROPINE,,
18,Belladonna alkaloids,Avoid,"Highly anticholinergic, uncertain effectivenes",[],,,
19,Ipratropium,Avoid,"Highly anticholinergic, uncertain effectivenes","[""IPRATROPIUM BROMIDE"", ""ALBUTEROL SULFATE AND IPRATROPIUM BROMIDE"", ""ALBUTEROL SULFATE; IPRATROPIUM BROMIDE""]",IPRATROPIUM BROMIDE,,
20,Hyoscyamine,Avoid,"Highly anticholinergic, uncertain effectivenes",[],HYOSCYAMINE,,
21,Scopolamine,Avoid,"Highly anticholinergic, uncertain effectivenes","[""METHSCOPOLAMINE BROMIDE"", ""SCOPOLAMINE""]",SCOPOLAMINE,,
22,Hyoscine,Avoid,"Highly anticholinergic, uncertain effectivenes",[],SCOPOLAMINE,,
23,Fentonium,Avoid,"Highly anticholinergic, uncertain effectivenes",[],PHENYTOIN,,
24,Methylatropine,Avoid,"Highly anticholinergic, uncertain effectivenes",[],METHOTREXATE,,
25,Butropium,Avoid,"Highly anticholinergic, uncertain effectivenes",[],,,
26,Clidinium-chlordiazepoxide,Avoid,"Highly anticholinergic, uncertain effectivenes",[],,,
27,Dicyclomine Homatropine (excludes opthalmic),Avoid,"Highly anticholinergic, uncertain effectivenes",[],DICYCLOMINE,,
28,Methscopolamine,Avoid,"Highly anticholinergic, uncertain effectivenes","[""METHSCOPOLAMINE BROMIDE""]",METHYLSCOPOLAMINE,,
29,Propantheline,Avoid,"Highly anticholinergic, uncertain effectivenes","[""PROPANTHELINE BROMIDE""]",PROPANTHELINE,,
30,"Dipyridamole, oral short acting",Avoid. Does not apply to the extended-release combination with aspirin,May cause orthostatic hypotension; more effective alternatives available; IV form acceptable for use in cardiac stress testing,[],DIPYRIDAMOLE,,
31,Nitrofurantoin ,Avoid if creatinine clearance <30mL/min or for long-term suppression,"Potential for pulmonary toxicity, hepatoxicity, and peripheral neuropathy, especially with long-term use; safer alternatives available","[""NITROFURANTOIN (MONOHYDRATE/MACROCRYSTALS)"", ""NITROFURANTOIN SODIUM"", ""NITROFURANTOIN MACROCRYSTALLINE""]",NITROFURANTOIN,,
32,Doxazosin,Avoid if used to treat high blood pressure,"High risk of orthostatic hypotension and associated harms, especially in older adults; not recommended as routine treatment for hypertension; alternative agents have superior risk/benefit profile","[""DOXAZOSIN MESYLATE""]",DOXAZOSIN,,
33,Prazosin,Avoid if used to treat high blood pressure,"High risk of orthostatic hypotension and associated harms, especially in older adults; not recommended as routine treatment for hypertension; alternative agents have superior risk/benefit profile","[""PRAZOSIN HYDROCHLORIDE"", ""POLYTHIAZIDE; PRAZOSIN HYDROCHLORIDE""]",PRAZOSIN,,
34,Terazosin,Avoid if used to treat high blood pressure,"High risk of orthostatic hypotension and associated harms, especially in older adults; not recommended as routine treatment for hypertension; alternative agents have superior risk/benefit profile","[""TERAZOSIN HYDROCHLORIDE""]",TERAZOSIN,,
35,Clonidine,Avoid as a first-line treatment for high blood pressure,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension,"[""CLONIDINE"", ""CLONIDINE HYDROCHLORIDE AND CHLORTHALIDONE"", ""CLONIDINE HYDROCHLORIDE "", ""CHLORTHALIDONE; CLONIDINE HYDROCHLORIDE"", ""CLONIDINE HYDROCHLORIDE"", ""APRACLONIDINE HYDROCHLORIDE""]",CLONIDINE,,
36,Guanabenz,Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension,"[""GUANABENZ ACETATE""]",,,
37,Guanfacine,Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension,"[""GUANFACINE HYDROCHLORIDE""]",GUANFACINE,,
38,Methyldopa,Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension,"[""HYDROCHLOROTHIAZIDE; METHYLDOPA"", ""METHYLDOPA AND CHLOROTHIAZIDE"", ""METHYLDOPA AND HYDROCHLOROTHIAZIDE"", ""METHYLDOPATE HYDROCHLORIDE"", ""METHYLDOPA"", ""CHLOROTHIAZIDE; METHYLDOPA"", ""METHYLDOPATE HCL""]",METHYLDOPA,,
39,Reserpine (>0.1 mg/day),Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension,[],RESERPINE,,
40,Disopyramide,Avoid,May induce heart failure in older adults because of potent negative inotropic action; strongly anticholinergic; other antiarrhythmic drugs preferred,"[""DISOPYRAMIDE PHOSPHATE""]",DISOPYRAMIDE,,
41,Dronedarone,Avoid if diagnosed with atrial fibrillation or severe or recently decompensated heart failure,Worse outcomes have been reported in patients taking dronedarone who have permanent atrial fibrillation or severe or recently decompensated heart failure,"[""DRONEDARONE"", ""DRONEDARONE HYDROCHLORIDE""]",DRONEDARONE,,
42,Digoxin,"Avoid as a first-line treatment for atrial fibrillation or heart failure. If used as treatment for atrial fibrillation or heart failure, avoid dosages >0.125 mg/day","Use in atrial fibrillation: should not be used as a first-line agent in atrial fibrillation, because there are safer and more effective alternatives for rate control supported by
high-quality evidence
Use in heart failure: evidence for benefits and harms of digoxin is conflicting and of lower quality; most but not all of the evidence concerns use in HFrEF. There is strong evidence for other agents as first-line therapy to reduce hospitalizations and mortality in adults with HFrEF. In heart failure, higher dosages are not associated with additional benefit and may increase risk of toxicity. Decreased renal clearance of digoxin may lead to increased risk of toxic effects; further dose reduction may be necessary in those with stage 4 or 5 chronic kidney disease","[""DIGOXIN PEDIATRIC"", ""DIGOXIN""]",DIGOXIN,,
43,Nifedipine (immediate release),Avoid,Potential for hypotension; risk of precipitating myocardial ischemia,[],NIFEDIPINE,,
44,Amiodarone,Avoid as first-line therapy for atrial fibrillation unless diagnosed with heart failure or substantial left ventricular hypertrophy,Effective for maintaining sinus rhythm but has greater toxicities than other antiarrhythmics used in atrial fibrillation; may be reasonable first-line therapy in patients with concomitant heart failure or substantial left ventricular hypertrophy if rhythm control is preferred over rate control,"[""AMIODARONE HYDROCHLORIDE""]",AMIODARONE,,
45,Amitriptyline,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension","[""PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE"", ""CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE"", ""AMITRIPTYLINE HYDROCHLORIDE"", ""AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE"", ""AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE""]",AMITRIPTYLINE,,
46,Amoxapine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension","[""AMOXAPINE""]",AMOXAPINE,,
47,Clomipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension","[""CLOMIPRAMINE HYDROCHLORIDE""]",CLOMIPRAMINE,,
48,Desipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension","[""DESIPRAMINE HYDROCHLORIDE""]",DESIPRAMINE,,
49,Doxepin (>6 mg/day),Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension; safety profile of low-dose doxepin (≤6 mg/day) comparable to that of placebo",[],DOXEPIN,,
50,Imipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension","[""TRIMIPRAMINE MALEATE"", ""IMIPRAMINE PAMOATE"", ""IMIPRAMINE HYDROCHLORIDE""]",IMIPRAMINE,,
51,Nortriptyline,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension","[""NORTRIPTYLINE HYDROCHLORIDE""]",NORTRIPTYLINE,,
52,Paroxetine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension","[""PAROXETINE HYDROCHLORIDE"", ""PAROXETINE"", ""PAROXETINE MESYLATE""]",PAROXETINE,,
53,Protriptyline,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension","[""PROTRIPTYLINE HYDROCHLORIDE""]",PROTRIPTYLINE,,
54,Trimipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension","[""TRIMIPRAMINE MALEATE""]",TRIMIPRAMINE,,
55,Chlorpromazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""CHLORPROMAZINE HYDROCHLORIDE"", ""CHLORPROMAZINE"", ""CHLORPROMAZINE HYDROCHLORIDE INTENSOL""]",CHLORPROMAZINE,,
56,Droperidol,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""DROPERIDOL"", ""FENTANYL CITRATE AND DROPERIDOL"", ""DROPERIDOL; FENTANYL CITRATE""]",DROPERIDOL,,
57,Fluphenazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""FLUPHENAZINE ENANTHATE"", ""FLUPHENAZINE HYDROCHLORIDE"", ""FLUPHENAZINE HCL"", ""FLUPHENAZINE"", ""FLUPHENAZINE DECANOATE""]",FLUPHENAZINE,,
58,Haloperidol,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""HALOPERIDOL DECANOATE"", ""HALOPERIDOL INTENSOL"", ""HALOPERIDOL LACTATE"", ""HALOPERIDOL""]",HALOPERIDOL,,
59,Loxapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""LOXAPINE SUCCINATE"", ""LOXAPINE"", ""LOXAPINE HYDROCHLORIDE""]",LOXAPINE,,
60,Perphenazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE"", ""PERPHENAZINE"", ""PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE""]",PERPHENAZINE,,
61,Pimozide,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""PIMOZIDE""]",PIMOZIDE,,
62,Prochlorperazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""PROCHLORPERAZINE EDISYLATE"", ""PROCHLORPERAZINE MALEATE"", ""PROCHLORPERAZINE""]",PROCHLORPERAZINE,,
63,Thioridazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""THIORIDAZINE"", ""THIORIDAZINE HYDROCHLORIDE"", ""THIORIDAZINE HYDROCHLORIDE INTENSOL""]",THIORIDAZINE,,
64,Thiothixene,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""THIOTHIXENE HYDROCHLORIDE INTENSOL"", ""THIOTHIXENE HYDROCHLORIDE"", ""THIOTHIXENE""]",THIOTHIXENE,,
65,Trifluoperazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""TRIFLUOPERAZINE HYDROCHLORIDE"", ""TRIFLUOPERAZINE HCL""]",TRIFLUOPERAZINE,,
66,Aripiprazole,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""ARIPIPRAZOLE"", ""ARIPIPRAZOLE LAUROXIL""]",ARIPIPRAZOLE,,
67,Asenapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""ASENAPINE MALEATE"", ""ASENAPINE""]",ASENAPINE,,
68,Clozapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""CLOZAPINE""]",CLOZAPINE,,
69,Iloperidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""ILOPERIDONE""]",ILOPERIDONE,,
70,Lurasidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""LURASIDONE HYDROCHLORIDE""]",LURASIDONE,,
71,Olanzapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""FLUOXETINE HYDROCHLORIDE; OLANZAPINE"", ""OLANZAPINE"", ""OLANZAPINE PAMOATE"", ""OLANZAPINE AND FLUOXETINE HYDROCHLORIDE"", ""OLANZAPINE; SAMIDORPHAN L-MALATE""]",OLANZAPINE,,
72,Paliperidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""PALIPERIDONE"", ""PALIPERIDONE PALMITATE""]",PALIPERIDONE,,
73,Quetiapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""QUETIAPINE FUMARATE""]",QUETIAPINE,,
74,Risperidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""RISPERIDONE""]",RISPERIDONE,,
75,Ziprasidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others","[""ZIPRASIDONE MESYLATE"", ""ZIPRASIDONE HYDROCHLORIDE""]",ZIPRASIDONE,,
76,Amobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",[],AMOBARBITAL,,
